55,Escola Est. Prof?. Leonor Lima,Escola Estadual,-5.75213246698808,-35.2031806052378
56,Esc. Est. Prof? Dulce Wanderley,Escola Estadual,-5.74559050873017,-35.2066843245306
57,Prof?. Terezinha Linhares Faustino,CMEI,-5.74814790472403,-35.2081596716829
58,Elizabeth T. de F. Melo,CMEI,-5.74778318950293,-35.2248620435686
59,Prof. Luiz Gonzaga Diniz Filho,CMEI,-5.75157574324395,-35.229711612851
60,Esc. Est. Potiguassu,Escola Estadual,-5.77556875227602,-35.2507354779141
61,Esc. Est. Paulo Freire,Escola Estadual,-5.77127152372506,-35.2616851679415
62,Esc. Mun. Irm? Arc?ngela,Escola Municipal,-5.7704134999177,-35.2610158675561
63,Esc. Mun. Vereador Jos? Sotero,Escola Municipal,-5.77481721657736,-35.2538110716463
64,Esc. Mun. Herly Parente,Escola Municipal,-5.77047444365471,-35.2527485430971
65,Esc. Mun. Jornalista Erivan Fran?a,Escola Municipal,-5.76431742115984,-35.2662822751309
66,Dr. Vulpiano Cavalcante,CMEI,-5.76582519828735,-35.2715563925152
67,Prof. Te?filo Can?,CMEI,-5.76635801021479,-35.2634009908418
68,Esc. Est. Vig?rio Bartolomeu,Escola Estadual,-5.8176828036292,-35.2007920531132
69,Esc. Est. C?nego Monte,Escola Estadual,-5.80960494971557,-35.2147560205654
70,Esc. Est. Nestor Lima,Escola Estadual,-5.81185888523438,-35.2117884297301
71,Esc. Est. Castro Alves,Escola Estadual,-5.822334731624,-35.202591777386
72,Inst. de Educa??o Superior Pres. Kennedy,Escola Estadual,-5.81810366400326,-35.2188229466469
73,Esc. Est. Edgar Barbosa,Escola Estadual,-5.81897148826747,-35.2193740084374
74,Esc. Est. Dr. Manoel Vila?a,Escola Estadual,-5.81833510944654,-35.2205813283653
75,Esc. Est. Des. R?gulo Tinoco,Escola Estadual,-5.82387451103721,-35.2138642423269
76,Esc. Est. Prof. Joaquim Torres,Escola Estadual,-5.82188248795972,-35.2258552154231
